data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2020-12-01 01:33:22.904;205;EMEF DÉCIO MARTINS COSTA                                ;0;0;0;94;0;94;735;91;826;0;0;0;0;920
2020-12-01 01:33:22.909;206;EMEF DOLORES ALCARAZ CALDAS                             ;0;0;0;122;0;122;809;199;1008;170;0;0;0;1300
2020-12-01 01:33:22.910;207;EMEF PROF GILBERTO JORGE GONÇALVES DA SILVA             ;0;0;0;40;0;40;126;67;193;0;0;0;0;233
2020-12-01 01:33:22.911;208;EMEF GRANDE ORIENTE DO RGS                              ;0;0;0;69;0;69;602;197;799;170;0;0;0;1038
2020-12-01 01:33:22.912;209;EMEF GOV ILDO MENEGHETTI                                ;0;0;0;42;0;42;1042;49;1091;166;0;0;0;1299
2020-12-01 01:33:22.913;210;EMEF JOSÉ LOUREIRO DA SILVA                             ;0;0;0;70;0;70;627;97;724;201;0;0;0;995
2020-12-01 01:33:22.914;211;EMEF PRES JOÃO BELCHIOR MARQUES GOULART                 ;0;0;0;56;20;76;408;75;483;0;0;0;0;559
2020-12-01 01:33:22.915;212;EMEF PROF JUDITH MACEDO DE ARAÚJO                       ;0;0;0;0;0;0;743;74;817;234;0;0;0;1051
2020-12-01 01:33:22.916;213;EMEF PROF LARRY JOSÉ RIBEIRO ALVES                      ;0;0;0;0;0;0;681;89;770;0;0;0;0;770
2020-12-01 01:33:22.917;214;EMEF LEOCÁDIA FELIZARDO PRESTES                         ;0;0;0;98;0;98;306;123;429;54;0;0;0;581
2020-12-01 01:33:29.683;215;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA                ;0;0;0;95;0;95;730;124;854;42;0;136;0;1127
2020-12-01 01:33:29.684;216;EMEF VER MARTIM ARANHA                                  ;0;0;0;68;0;68;321;172;493;138;0;0;0;699
2020-12-01 01:33:29.686;217;EMEF NOSSA SENHORA DE FÁTIMA                            ;0;0;0;94;0;94;529;0;529;91;0;0;0;714
2020-12-01 01:33:29.688;218;EMEF PEPITA DE LEÃO                                     ;0;0;0;16;0;16;337;123;460;0;0;0;0;476
2020-12-01 01:33:29.689;219;EMEF PRESIDENTE VARGAS                                  ;0;0;0;22;0;22;340;138;478;9;0;0;0;509
2020-12-01 01:33:29.690;220;EMEF HEITOR VILLA LOBOS                                 ;0;0;0;0;0;0;937;53;990;191;0;0;0;1181
2020-12-01 01:33:29.693;221;EMEF JOÃO ANTONIO SATTE                                 ;0;0;0;0;0;0;900;0;900;111;0;0;0;1011
